Process	Tool	Version	Type	Container_Name	Description	Contact_Person
bwa_umi	<a href = "https://support.sentieon.com/manual/" target="_blank">Sentieon BWA</a>	v202010.01	Commercial	SomaticPanelPipeline_2021-06-24.sif	"Sentieon® develops and supplies a suite of bioinformatics secondary analysis tools that process genomics data with high computing efficiency, fast turnaround time, exceptional accuracy, and 100% consistency."	-
	<a href = "https://support.sentieon.com/manual/" target="_blank">Sentieon UMI</a>	v202010.01	Commercial	SomaticPanelPipeline_2021-06-24.sif	"Sentieon® develops and supplies a suite of bioinformatics secondary analysis tools that process genomics data with high computing efficiency, fast turnaround time, exceptional accuracy, and 100% consistency."	-
	<a href = "https://support.sentieon.com/manual/" target="_blank">Sentieon UTIL</a>	v202010.01	Commercial	SomaticPanelPipeline_2021-06-24.sif	"Sentieon® develops and supplies a suite of bioinformatics secondary analysis tools that process genomics data with high computing efficiency, fast turnaround time, exceptional accuracy, and 100% consistency."	-
	<a href = "https://github.com/samtools/samtools" target="_blank">SAMtools</a>	v1.9	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"Tools (written in C using htslib) for manipulating next-generation sequencing data"	https://github.com/samtools/samtools/issues
bwa_align	<a href = "https://support.sentieon.com/manual/" target="_blank">Sentieon BWA-MEM</a>	v202010.01	Commercial	SomaticPanelPipeline_2021-06-24.sif	"Sentieon® develops and supplies a suite of bioinformatics secondary analysis tools that process genomics data with high computing efficiency, fast turnaround time, exceptional accuracy, and 100% consistency."	-
	<a href = "https://github.com/lh3/bwa" target="_blank">BWA-MEM</a>	v0.7.17-r1188	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"Read alignment and mapping"	https://github.com/lh3/bwa/issues
markdup	<a href = "https://support.sentieon.com/manual/" target="_blank">Sentieon DRIVER</a>	v202010.01	Commercial	SomaticPanelPipeline_2021-06-24.sif	"Sentieon® develops and supplies a suite of bioinformatics secondary analysis tools that process genomics data with high computing efficiency, fast turnaround time, exceptional accuracy, and 100% consistency."	-
lowcov	<a href = "https://github.com/biod/sambamba" target="_blank">Sambamba</a>	v0.8.0	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"Tools for working with SAM/BAM data"	https://github.com/biod/sambamba/issues
freebayes	<a href = "https://github.com/freebayes/freebayes" target="_blank">freebayes</a>	v1.6.0	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"Bayesian haplotype-based polymorphism discovery."	https://github.com/freebayes/freebayes/issues
vardict	<a href = "https://github.com/AstraZeneca-NGS/VarDict" target="_blank">VarDict</a>	v	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"VarDict is a variant calling program for SNV, MNV, indels (<50 bp), and complex variants."	https://github.com/AstraZeneca-NGS/VarDict/issues
tnscope	<a href = "https://support.sentieon.com/manual/" target="_blank">Sentieon DRIVER</a>	v202010.01	Commercial	SomaticPanelPipeline_2021-06-24.sif	"Sentieon® develops and supplies a suite of bioinformatics secondary analysis tools that process genomics data with high computing efficiency, fast turnaround time, exceptional accuracy, and 100% consistency."	-
pindel	<a href = "https://github.com/genome/pindel" target="_blank">Pindel</a>	v0.2.5b9, 20160729	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"Pindel can detect breakpoints of large deletions, medium sized insertions, inversions, tandem duplications and other structural variants at single-based resolution from next-gen sequence data. It uses a pattern growth approach to identify the breakpoints of these variants from paired-end short reads."	kaiye@xjtu.edu.cn
concatenate_vcfs	<a href = "https://github.com/vcftools/vcftools" target="_blank">VCFtools</a>	v0.1.16	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"A set of tools written in Perl and C++ for working with VCF files, such as those generated by the 1000 Genomes Project."	https://github.com/vcftools/vcftools/issues
	<a href = "https://genome.sph.umich.edu/wiki/Vt" target="_blank">Vt</a>	v0.5	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"vt is a variant tool set that discovers short variants from Next Generation Sequencing data."	Adiran (atks@umich.edu)
cnvkit	<a href = "https://cnvkit.readthedocs.io/en/stable/" target="_blank">CNVkit</a>	v0.9.9	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"Genome-wide copy number from high-throughput sequencing"	https://github.com/etal/cnvkit/issues
gene_plot	<a href = "https://cnvkit.readthedocs.io/en/stable/" target="_blank">CNVkit</a>	v0.9.5	Open-Source	SomaticPanelPipeline_2021-06-24.sif	"Genome-wide copy number from high-throughput sequencing"	https://github.com/etal/cnvkit/issues
annotate_vep	<a href = "https://github.com/Ensembl/ensembl-vep" target="_blank">VEP</a>	v103.1	Open-Source	ensembl-vep_release_103.sif	"The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants"	https://github.com/Ensembl/ensembl-vep/issues
