Tool	Type	URL	External_Contact_Person	Short_Description	Reference
annotsv	Open-Source	https://github.com/lgmgeo/AnnotSV	https://github.com/lgmgeo/AnnotSV/issues	Annotation and Ranking of Structural Variation 	10.1093/bioinformatics/bty304 
bcftools	Open-Source	https://github.com/samtools/bcftools	https://github.com/samtools/bcftools/issues	BCFtools is a program for variant calling and manipulating files in the Variant Call Format (VCF) and its binary counterpart BCF.	-
bedtools	Open-Soource	https://github.com/arq5x/bedtools2	https://github.com/arq5x/bedtools2/issues	-	-
bgzip	Open-Soource	https://github.com/samtools/htslib	https://github.com/samtools/htslib/issues	-	-
bwa	Open-Source	https://github.com/lh3/bwa	https://github.com/lh3/bwa/issues	Read alignment and mapping	https://doi.org/10.48550/arXiv.1303.3997
bwa-mem	Open-Source	https://github.com/lh3/bwa	https://github.com/lh3/bwa/issues	Read alignment and mapping	https://doi.org/10.48550/arXiv.1303.3997
cadd	Open-Source	https://github.com/kircherlab/CADD-scripts	https://github.com/kircherlab/CADD-scripts/issues	CADD is a tool for scoring the deleteriousness of single nucleotide variants as well as insertion/deletions variants in the human genome.	10.1038/ng.2892
cdm	Open-Soource	https://github.com/Clinical-Genomics-Lund/cmd-data-management	-	Quality control reporting for CMD lab	-
cnvkit	Open-Source	https://cnvkit.readthedocs.io/en/stable/	https://github.com/etal/cnvkit/issues	Genome-wide copy number from high-throughput sequencing	https://doi.org/10.1371/journal.pcbi.1004873
coyote	Open-Soource	https://github.com/Clinical-Genomics-Lund/coyote	-	Presentation and intreprtation of variants	-
delly	Open-Source	https://github.com/dellytools/delly	https://github.com/dellytools/delly/issues	Structural variant discovery by integrated paired-end and split-read analysis	https://doi.org/10.1093/bioinformatics/bts378
eklipse	Open-Source	https://github.com/dooguypapua/eKLIPse	https://github.com/dooguypapua/eKLIPse/issues	Sensitive tool for the detection and quantification of mitochondrial DNA deletions from next-generation sequencing data	https://doi.org/10.1038/s41436-018-0350-8
fastp	Open-Source	https://github.com/OpenGene/fastp	https://github.com/OpenGene/fastp/issues	-	-
freebayes	Open-Source	https://github.com/freebayes/freebayes	https://github.com/freebayes/freebayes/issues	Bayesian haplotype-based polymorphism discovery.	https://doi.org/10.48550/arXiv.1207.390
gatk	Open-Source	https://gatk.broadinstitute.org/hc/en-us	https://github.com/broadinstitute/gatk/issues	Variant Discovery in High-Throughput Sequencing Data	http://dx.doi.org/10.1101/gr.107524.110
gatk4	Open-Source	https://gatk.broadinstitute.org/hc/en-us	https://github.com/broadinstitute/gatk/issues	Variant Discovery in High-Throughput Sequencing Data	http://dx.doi.org/10.1101/gr.107524.110
genmod	Open-Source	https://github.com/Clinical-Genomics/genmod	https://github.com/Clinical-Genomics/genmod/issues	Annotate models of genetic inheritance patterns in variant files	10.5281/zenodo.591885
gunzip	Open-Source	https://www.gnu.org/software/gzip/	bug-gzip@gnu.org	GNU Gzip is a popular data compression program	-
haplogrep	Open-Source	https://github.com/seppinho/haplogrep-cmd	https://github.com/seppinho/haplogrep-cmd/issues	HaploGrep - mtDNA haplogroup classification. Supporting rCRS and RSRS.	https://doi.org/10.1093/nar/gkad284
hmtnote	Open-Source	https://github.com/robertopreste/HmtNote	https://github.com/robertopreste/HmtNote/issues	Human mitochondrial variants annotation using HmtVar	https://doi.org/10.1101/600619 
